SCORE,OpenCriticURL,SaleEnds,SaleStarted,LowestPrice,MainStory,MainExtra,Completionist,PlusPrice,PlusDiscount,PlusPercentOff,Publisher,ReleaseDate,genre,PercentOff,Title,OriginalTitle,Slug,id,Image,IsPS4,IsPS5,Popularity,CampaignName,CampaignCategoryId,Region,url,platform,ESRBRating,MexPrice,idPrice,idSalePrice,inPrice,inSalePrice,sgPrice,sgSalePrice,trPrice,trSalePrice,usPrice,usSalePrice,hkPrice,hkSalePrice
90,https://www.metacritic.com/game/the-last-of-us-part-ii-remastered,2026-10-07T14:59:00.000Z,2026-09-23,/game/141122,23,27,41,,,,,0000-00-00,"Action, Adventure",40%,The Last of Us™ Part II Remastered,"The Last of Us™ Part II Remastered (Simplified Chinese, English, Korean, Thai, Traditional Chinese)",the-last-of-us-part-ii-remastered-ps5,HP9000-PPSA15512_00-THELASTOFUSPART2,https://image.api.playstation.com/vulcan/ap/rnd/202312/0117/315718bce7eed62e3cf3fb02d61b81ff1782d6b6cf850fa4.png?w=200,0,1,11,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/HP9000-PPSA15512_00-THELASTOFUSPART2,Playstation,TRD,null,809190,485514,2999,1799,67.90,40.74,2.14900,1.28940,49.99,22.99,398.00,238.80
90,https://www.metacritic.com/game/marvels-spider-man-2,2026-10-07T14:59:00.000Z,2026-09-23,/game/79769,17,23,28,,,,,0000-00-00,Action,58%,Marvel’s Spider-Man 2,"Marvel’s Spider-Man 2 (Simplified Chinese, English, Korean, Thai, Traditional Chinese)",marvels-spider-man-2-ps5,HP9000-PPSA08340_00-MARVELSPIDERMAN2,https://image.api.playstation.com/vulcan/ap/rnd/202306/1219/1c7b75d8ed9271516546560d219ad0b22ee0a263b4537bd8.png?w=200,0,1,28,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/HP9000-PPSA08340_00-MARVELSPIDERMAN2,Playstation,TRD,null,1142190,479719,4999,2499,97.90,41.11,2.79900,1.39950,69.99,27.99,568.00,238.56
90,https://www.metacritic.com/game/cocoon,2026-10-07T14:59:00.000Z,2026-09-23,/game/109239,5,5,5,,,,,0000-00-00,Adventure,50%,COCOON,"COCOON (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",cocoon-ps4-ps5,HP2418-PPSA08768_00-COCOONSIEJASIA00,https://image.api.playstation.com/vulcan/ap/rnd/202308/0320/edce2d3e20cb874ad82bbf54f00c9e2a3adf7f5bf77665ca.png?w=200,1,1,1,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/HP2418-PPSA08768_00-COCOONSIEJASIA00,Playstation,TRD,null,387390,193695,1749,874,35.54,17.77,87900,43950,24.99,12.49,198.00,99.00
89,https://www.metacritic.com/game/manifold-garden,2026-10-07T14:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,"Adventure, Puzzle",50%,Manifold Garden,"Manifold Garden (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",manifold-garden-ps4-ps5,HP1127-PPSA03159_00-MANIFGARDENASPS5,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA03091_00/2/i_7f1bf06131040fb607d22b66d166550baab403954cc1c3856a1e48cd8eb6ed47/i/icon0.png?w=200,1,1,2,cat.gma.PlayStationIndies,976c3cf7-8dc9-46fb-8691-4603b98224cb,en-id,https://store.playstation.com/en-id/product/HP1127-PPSA03159_00-MANIFGARDENASPS5,Playstation,TRD,null,309690,154845,,,28.42,14.21,,,,,148.00,74.00
89,https://www.metacritic.com/game/castlevania-dominus-collection,2026-10-07T14:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,"Action, Role Playing Games",50%,Castlevania Dominus Collection,"Castlevania Dominus Collection (English, Japanese)",castlevania-dominus-collection-ps5,JP0101-PPSA15645_00-DOMINUSCOLLECTIO,https://image.api.playstation.com/vulcan/ap/rnd/202408/0720/0b9a545b26237696f05a65b1165a633df1142c18a3f254b0.png?w=200,0,1,1,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/JP0101-PPSA15645_00-DOMINUSCOLLECTIO,Playstation,TRD,null,359640,179820,2081,1040,29.30,14.65,1.07900,53950,24.99,12.49,156.00,78.00
89,https://www.metacritic.com/game/the-last-of-us-part-i,2026-10-07T14:59:00.000Z,2026-09-23,/game/109104,14,18,24,,,,,0000-00-00,Action,58%,The Last of Us™ Part I,"The Last of Us™ Part I (Simplified Chinese, English, Korean, Thai, Traditional Chinese)",the-last-of-us-part-i-ps5,HP9000-PPSA07644_00-THELASTOFUSPART1,https://image.api.playstation.com/vulcan/ap/rnd/202206/0720/eEczyEMDd2BLa3dtkGJVE9Id.png?w=200,0,1,5,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/HP9000-PPSA07644_00-THELASTOFUSPART1,Playstation,TRD,null,1142190,479719,4999,2499,97.90,41.11,3.44900,1.72450,69.99,27.99,568.00,238.56
89,https://www.metacritic.com/game/battlefield-1,2026-10-07T14:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,"Action, Shooter",70%,Battlefield™ 1,Battlefield™ 1 (English/Chinese Ver.),battlefield-1-ps4,UP0006-CUSA02429_00-ASIAPLACEHOLDER0,https://image.api.playstation.com/cdn/UP0006/CUSA02429_00/iqjLo98NUUPwImtH9PPgX4paN0lmfGKrN1rt30j3ga5ODNw4qITo25gD6sbDQs3u.png?w=200,1,0,1,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/UP0006-CUSA02429_00-ASIAPLACEHOLDER0,Playstation,TRD,null,313020,93906,1099,329,27.10,8.13,99900,29970,19.99,5.99,160.00,48.00
89,https://www.metacritic.com/game/dreams,2026-10-07T22:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,"Action, Adventure, Unique",60%,Dreams™,Dreams™,dreams-ps4,EP9000-CUSA04301_00-DREAMS0000000000,https://image.api.playstation.com/vulcan/img/rnd/202010/2913/NE6EsohLBmlXJmgxaIGHVjh9.png?w=200,1,0,,cat.gma.Autumn_Adventures_26_New,fc461e2d-f0a2-4b15-bf1f-73a825efca1c,en-in,https://store.playstation.com/en-in/product/EP9000-CUSA04301_00-DREAMS0000000000,Playstation,TRD,null,,,2499,999,,,1.39900,55960,19.99,7.99,,
88,https://www.metacritic.com/game/pixel-ripped-1995,2026-10-07T14:59:00.000Z,2026-09-23,/game/78665,3,3,31,,,,,0000-00-00,"Action, Adventure, Arcade",30%,Pixel Ripped 1995,"Pixel Ripped 1995 (Simplified Chinese, English, Korean, Japanese)",pixel-ripped-1995-ps4-ps5,UP4906-PPSA15234_00-0885970695077912,https://image.api.playstation.com/vulcan/ap/rnd/202411/1300/ca8b704cf0e853717ac0da364a8db0b9462a03cb0cbca4d6.png?w=200,1,1,,cat.gma.PlayStationIndies,976c3cf7-8dc9-46fb-8691-4603b98224cb,en-id,https://store.playstation.com/en-id/product/UP4906-PPSA15234_00-0885970695077912,Playstation,TRD,null,309690,216783,1664,1164,28.42,19.89,84900,59430,19.99,13.99,148.00,103.60
88,https://www.metacritic.com/game/neon-white,2026-10-07T14:59:00.000Z,2026-09-23,/game/88760,11,18,24,,,,,0000-00-00,Action,60%,Neon White,"Neon White (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",neon-white-ps4-ps5,HP2418-PPSA09867_00-NEONWHITESIEJA00,https://image.api.playstation.com/vulcan/ap/rnd/202210/1823/inNCaoSDd2pF8YY7koHm0e5U.png?w=200,1,1,,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/HP2418-PPSA09867_00-NEONWHITESIEJA00,Playstation,TRD,null,387390,154956,1749,699,35.54,14.21,87900,35160,24.99,9.99,198.00,79.20
88,https://www.metacritic.com/game/final-fantasy-tactics-the-ivalice-chronicles,2026-10-07T14:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,Strategy,40%,FINAL FANTASY TACTICS - The Ivalice Chronicles,"FINAL FANTASY TACTICS - The Ivalice Chronicles [PS4 & PS5] (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",final-fantasy-tactics-the-ivalice-chronicles-ps4-ps5,JP0082-PPSA21783_00-FFTACTICS0000000,https://image.api.playstation.com/vulcan/ap/rnd/202509/1611/7e8bc06002666343f6f012ee4a2575b3b901d312b822f1ef.png?w=200,1,1,1,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/JP0082-PPSA21783_00-FFTACTICS0000000,Playstation,TRD,null,809190,485514,,,67.90,40.74,,,,,399.00,239.40
88,https://www.metacritic.com/game/divinity-original-sin-enhanced-edition,2026-10-07T22:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,Role Playing Games,80%,DIVINITY ORIGINAL SIN - ENHANCED EDITION,DIVINITY ORIGINAL SIN - ENHANCED EDITION,divinity-original-sin-enhanced-edition-ps4,EP4133-CUSA02762_00-DIVINITYPS4BUNDL,https://image.api.playstation.com/cdn/EP4133/CUSA02762_00/mqMwORlFsFtZO7poW8r7t6E5MUmQMbCO.png?w=200,1,0,2,cat.gma.x_Deals,322ea58b-1a57-4586-93e0-286d1e926394,en-in,https://store.playstation.com/en-in/product/EP4133-CUSA02762_00-DIVINITYPS4BUNDL,Playstation,TRD,null,,,2499,499,,,1.74900,34980,39.99,7.99,,
88,https://www.metacritic.com/game/slay-the-spire,2026-10-07T22:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,Strategy,75%,Slay the Spire,Slay the Spire,slay-the-spire-ps4,EP3717-CUSA15338_00-SLAYTHESPIREGAME,https://image.api.playstation.com/cdn/EP3717/CUSA15338_00/Sn5xbNutqfQdWYIjbeCIN0bwTJOV7UPG.png?w=200,1,0,1,cat.gma.PlayStationIndies,d66e22ee-42b5-4cfc-997d-221cae79ae7d,en-in,https://store.playstation.com/en-in/product/EP3717-CUSA15338_00-SLAYTHESPIREGAME,Playstation,TRD,null,,,1749,437,,,87900,21975,24.99,6.24,,
87,https://www.metacritic.com/game/shinobi-art-of-vengeance,2026-10-07T14:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,Action,55%,SHINOBI: Art of Vengeance,"SHINOBI: Art of Vengeance PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",shinobi-art-of-vengeance-ps4-ps5,UP0177-PPSA19461_00-SHINOBIAOV000001,https://image.api.playstation.com/vulcan/ap/rnd/202512/1523/b4191d6931ea8889a37c345de938786bf9f11adc41fbce2a.png?w=200,1,1,,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/UP0177-PPSA19461_00-SHINOBIAOV000001,Playstation,TRD,null,197580,88911,,,27.90,12.55,,,,,168.00,75.60
87,https://www.metacritic.com/game/final-fantasy-xvi,2026-10-07T14:59:00.000Z,2026-09-23,/game/83152,38,58,80,,,,,0000-00-00,"Action, Role Playing Games",60%,FINAL FANTASY XVI,"FINAL FANTASY XVI (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",final-fantasy-xvi-ps5,HP0082-PPSA10666_00-FF16ASIA00000002,https://image.api.playstation.com/vulcan/ap/rnd/202211/1404/RMELUDlp2uzJ3EmsVhzr00A6.png?w=200,0,1,,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/HP0082-PPSA10666_00-FF16ASIA00000002,Playstation,TRD,null,809190,323676,,,67.90,27.16,,,,,398.00,159.20
87,https://www.metacritic.com/game/batman-arkham-knight,2026-10-07T14:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,"Action, Adventure",75%,Batman™: Arkham Knight PlayStation®Hits,"Batman™: Arkham Knight PlayStation®Hits (English, Korean)",batman-arkham-knight-ps4,UP1018-CUSA00133_00-ASIA000000000000,https://image.api.playstation.com/cdn/UP1018/CUSA00133_00/SP2jKfb96pDnFMljfalSsay7NjcNLz4WRj1WDyoj05t2aH8ViCnNwv2TgMB2ko0S.png?w=200,1,0,6,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/UP1018-CUSA00133_00-ASIA000000000000,Playstation,TRD,null,309690,77422,1499,374,29.34,7.33,69900,17475,19.99,4.99,148.00,37.00
87,https://www.metacritic.com/game/xcom-2,2026-10-07T14:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,Strategy,85%,XCOM 2,XCOM 2 (English/Chinese/Korean Ver.),xcom-2-ps4,UP1001-CUSA04552_00-ASIAPLACEHOLDER0,https://image.api.playstation.com/cdn/UP1001/CUSA04552_00/lILweNYnWE05ZrO0WVtrZBpJj0eiW9NNr2k0N4ALVCAEKMYNwIyufBp46kWTZDF4.png?w=200,1,0,1,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/UP1001-CUSA04552_00-ASIAPLACEHOLDER0,Playstation,TRD,null,325230,48784,1669,250,26.00,3.90,69900,10485,19.99,2.99,155.00,23.25
87,https://www.metacritic.com/game/gran-turismo-7,2026-10-07T14:59:00.000Z,2026-09-23,/game/81847,25,44,151,,,,,0000-00-00,Driving/Racing,58%,Gran Turismo® 7,"Gran Turismo® 7 (Simplified Chinese, English, Korean, Thai, Traditional Chinese)",gran-turismo-7-ps4-ps5,HP9000-PPSA01318_00-GT7STD0000000PS5,https://image.api.playstation.com/vulcan/ap/rnd/202511/0707/303f5701426596a09891f9f33fa93e49ae522d5295b26dce.png?w=200,1,1,13,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/HP9000-PPSA01318_00-GT7STD0000000PS5,Playstation,TRD,null,1142190,479719,4999,2499,97.90,41.11,1.99900,99950,69.99,27.99,568.00,238.56
87,https://www.metacritic.com/game/gran-turismo-7,2026-10-07T14:59:00.000Z,2026-09-23,/game/81847,25,44,151,,,,,0000-00-00,Driving/Racing,67%,Gran Turismo® 7,"Gran Turismo® 7 (Simplified Chinese, English, Korean, Thai, Traditional Chinese)",gran-turismo-7-ps4,HP9000-CUSA24771_00-GT7STD0000000PS4,https://image.api.playstation.com/vulcan/ap/rnd/202511/0707/303f5701426596a09891f9f33fa93e49ae522d5295b26dce.png?w=200,1,0,7,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/HP9000-CUSA24771_00-GT7STD0000000PS4,Playstation,TRD,null,975690,321977,3999,1679,81.39,26.85,2.49900,1.04958,59.99,19.79,468.00,154.44
87,https://www.metacritic.com/game/theatrhythm-final-bar-line,2026-10-07T14:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,Music/Rhythm,60%,THEATRHYTHM FINAL BAR LINE,"THEATRHYTHM FINAL BAR LINE (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",theatrhythm-final-bar-line-ps4,HP0082-CUSA34545_00-TFBL000000000000,https://image.api.playstation.com/vulcan/ap/rnd/202208/2205/o9vR3ddyNH8b5yxL4Rxz803q.png?w=200,1,0,,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/HP0082-CUSA34545_00-TFBL000000000000,Playstation,TRD,null,720390,288156,,,65.50,26.20,,,,,399.00,159.60
87,https://www.metacritic.com/game/towerfall-ascension,2026-10-07T22:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,Action,80%,TowerFall Ascension,TowerFall Ascension,towerfall-ascension-ps4,EP2120-CUSA00534_00-TOWERFALLCROSSBU,https://image.api.playstation.com/cdn/EP2120/CUSA00534_00/dd45KmSi0xwQamrEKCKuMss4CdKZWiUd.png?w=200,1,0,2,cat.gma.x_Deals,322ea58b-1a57-4586-93e0-286d1e926394,en-in,https://store.playstation.com/en-in/product/EP2120-CUSA00534_00-TOWERFALLCROSSBU,Playstation,TRD,null,,,1165,233,,,60100,12020,14.99,2.99,,
86,https://www.metacritic.com/game/bonfire-peaks,2026-10-07T14:59:00.000Z,2026-09-23,/game/98603,14,21,33,,,,,0000-00-00,Puzzle,70%,Bonfire Peaks,"Bonfire Peaks (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",bonfire-peaks-ps4-ps5,HP7126-PPSA03830_00-BONFIREPEAKSP5AS,https://image.api.playstation.com/vulcan/ap/rnd/202109/0102/3T8QbqO5NwILpBWvcnfpwmcB.png?w=200,1,1,,cat.gma.PlayStationIndies,976c3cf7-8dc9-46fb-8691-4603b98224cb,en-id,https://store.playstation.com/en-id/product/HP7126-PPSA03830_00-BONFIREPEAKSP5AS,Playstation,TRD,null,309690,92907,1498,449,28.42,8.52,62900,18870,19.99,5.99,148.00,44.40
86,https://www.metacritic.com/game/monster-train,2026-10-07T14:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,Strategy,60%,Monster Train,"Monster Train (Simplified Chinese, English)",monster-train-ps5,UP1050-PPSA21237_00-0150826995025525,https://image.api.playstation.com/vulcan/ap/rnd/202407/1011/74e101d1f70cd0ee57f903bc37ec1b88d32e6c7cc6078e89.png?w=200,0,1,,cat.gma.PlayStationIndies,976c3cf7-8dc9-46fb-8691-4603b98224cb,en-id,https://store.playstation.com/en-id/product/UP1050-PPSA21237_00-0150826995025525,Playstation,TRD,null,387390,154956,2081,832,35.54,14.21,87500,35000,24.99,9.99,198.00,79.20
86,https://www.metacritic.com/game/mixtape,2026-10-07T14:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,Adventure,20%,Mixtape,"Mixtape (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",mixtape-ps5,UP2470-PPSA29453_00-MIXTAPE000000000,https://image.api.playstation.com/vulcan/ap/rnd/202604/2012/e4c9f69e0eb116cc4cb8e804e5033da3f3c1e7800104bd12.png?w=200,0,1,1,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/UP2470-PPSA29453_00-MIXTAPE000000000,Playstation,TRD,null,309690,247752,1581,1264,28.42,22.73,81600,65280,19.99,15.99,148.00,118.40
